e2,t2
466,-8.68422394297
467,-8.13282746316
468,-15.9777345702
469,-12.4588616588
470,-10.7293880101
471,-15.8865260717
472,-12.3259194308
473,-19.452383076
474,-9.01083834139
475,-15.6754350554
476,-8.72315852346
477,-8.3127406563
478,-8.59121327953
479,-16.1257461763
480,-15.5170249071
481,-16.0229363544
482,-8.61759851231
483,-8.95080681611
484,-16.1147351639
485,-15.8982604471
486,-8.23631068791
487,-7.91600147596
488,-8.9101511048
489,-14.9829003638
490,-2.96829512221
491,-11.2272240719
492,-14.952162277
493,-14.867701808
494,-3.72367828681
495,-9.30816317141
496,-2.67790418022
497,-10.8675712026
498,-11.1329124321
499,-10.7576395976
500,-10.7076857478
501,-10.4447562173
502,-11.0085446828
503,-10.882510804
504,-12.7889019689
505,-10.6699587004
506,-9.31918811901
507,-8.61553827243
508,-11.6700937389
509,-8.67237894911
510,-12.064712431
511,-11.8151246734
512,-12.1921183029
513,-8.56021899973
514,-8.60397691965
515,-11.9731878834
516,-8.72470474743
517,-11.7655973298
518,-9.04882498377
519,-8.7451293177
520,-9.92308297224
521,-20.6851142674
522,-11.8094390661
523,-9.17095364381
524,-11.2942064695
525,-19.3679184387
526,-21.6557204782
527,-17.4252871427
528,-32.4245699178
529,-16.3649962999
530,-18.7156987034
531,-15.3529283575
532,-16.5463596359
533,-21.2784304198
534,-33.3279758644
535,-18.1230494991
536,-37.4686645585
537,-15.8816894726
538,-19.2275657339
539,-19.4659613484
540,-16.0092096831
541,-11.4882165384
542,-15.4862520893
543,-11.9808231187
544,-11.8232198229
545,-10.1396541193
546,-12.1078631107
547,-10.2908463493
548,-10.4526684157
549,-11.3808026895
550,-8.75858199267
551,-15.5147059886
552,-11.884129029
553,-10.9262387607
554,-11.5399157169
555,-12.0174018736
556,-12.174494882
557,-11.9753822094
558,-11.9854967935
559,-11.6697498074
560,-11.8095888043
561,-11.7039917639
562,-8.21239880572
563,-9.11450219077
564,-11.7767458158
565,-12.2450227318
566,-11.8520860959
567,-11.342281379
568,-12.1460569176
569,-12.1680026933
570,-11.4463678227
571,-11.6577594246
572,-11.9420316941
573,-11.7490034589
574,-17.5751601615
575,-4.87539735871
576,-4.80226015942
577,-3.29696862249
578,-4.39106659309
579,-4.72453735598
580,-4.91812556444
581,-11.9025388075
582,-8.70442273563
583,-8.30386224023
584,-8.65695501545
585,-8.95794364084
586,-4.65475710849
587,-8.47948685786
588,-9.6922935422
589,-13.5340947956
590,-4.02158323218
591,-4.71926404145
592,-4.87208296112
593,-10.8998114645
594,-9.74296436361
595,-9.12723000192
596,-9.55899828791
597,-9.24580160249
598,-9.35054238909
599,-9.11379698812
600,-8.96601174538
601,-9.22018065685
602,-8.82039818717
603,-8.51556776294
604,-9.04810586061
605,-8.86950994671
606,-8.87214278303
607,-9.04168367787
608,-9.24227035299
609,-8.63711800866
610,-9.0712741912
611,-8.9714554352
612,-9.07228113866
613,-9.42287817349
614,-9.41420108229
615,-8.79923945279
616,-9.17718131162
617,-9.14002541255
618,-9.16968578434
619,-8.77836135584
620,-9.06429672386
621,-8.60587244656
622,-9.0457930501
623,-8.88781354416
624,-9.2284341403
625,-9.03040972353
626,-9.09061549937
627,-8.99028114304
628,-9.04030126865
629,-9.0371404143
630,-9.19911297713
631,-8.7971775891
632,-9.25030115599
633,-9.21295692497
634,-9.09485212955
635,-9.28671259379
636,-8.71147871462
637,-9.16815857541
638,-9.12021242498
639,-9.12357744447
640,-8.99347217309
641,-9.09896703705
642,-9.30446602982
643,-8.92585067496
644,-8.95940318883
645,-8.92572819806
646,-9.12392350902
647,-8.91585434948
648,-9.20959449426
649,-9.13411522174
650,-9.30303635087
651,-9.27666716692
652,-8.80088135784
653,-8.979062545
654,-9.03156293984
655,-8.71328815508
656,-9.04158609377
657,-9.14974764941
658,-8.94121106331
659,-9.03709842521
660,-9.13008407989
661,-9.24822077079
662,-9.01075694696
663,-9.11961810235
664,-8.75427634453
665,-9.01260549311
666,-62.7612671185
667,-1626.84902208
668,-40.927608852
669,-40.5261080408
670,-9.82723344055
671,-9.32415047437
672,-9.65716641917
673,-9.00658451824
674,-9.90326896354
675,-9.0901983441
676,-9.30112164601
677,-9.37184930457
678,-9.46117253611
679,-9.12686591036
680,-9.10762544271
681,-9.52012920181
682,-9.30013974556
683,-9.06750663352
684,-9.04196434814
685,-9.14028205909
686,-9.05353790431
687,-8.72160241045
688,-8.7965654006
689,-9.42381220732
690,-8.94036143158
691,-9.09679719994
692,-9.09578606631
693,-9.07481532212
694,-8.8927403146
695,-8.99802163145
696,-9.75956737964
697,-9.7913219711
698,-8.96558946164
699,-8.93389779952
700,-9.58935431917
701,-9.03748260583
702,-9.32442256394
703,-9.06986928311
704,-45.7595181692
705,-1673.4982198
706,-2000.68595879
707,-2001.62203716
708,-2060.58370068
709,-2137.94667605
710,-1886.2072346
711,-11.9337441298
712,-9.04362834288
713,-7.43912757785
714,-2438.00764404
715,-2593.01704928
716,-30.722490563
717,-9.28406886366
718,-9.04652742435
719,-9.08283067035
720,-8.99932954086
721,-8.93916730013
722,-9.18368783308
723,-9.12568491514
724,-8.83920963979
725,-9.13398821446
726,-8.91982419027
727,-8.99700721613
728,-9.37802674861
729,-8.98421712276
730,-9.21385201372
731,-9.01805717565
732,-9.07343865176
733,-8.85076705481
734,-8.89560582567
735,-9.30164163544
736,-9.42023148962
737,-8.97716358124
738,-8.8256245633
739,-9.16245503731
740,-8.79686057752
741,-8.92797325324
742,-9.27725853137
743,-9.01662546399
744,-9.38757620596
745,-8.98003143003
746,-9.08518709122
747,-9.15127963916
748,-8.92039810586
749,-8.94470417284
750,-9.06639528972
751,-8.76956597001
752,-9.00195740904
753,-8.87646561285
754,-8.95085697574
755,-9.03973241209
756,-8.82260822065
757,-8.93435314769
758,-9.09033207318
759,-9.13881890773
760,-9.0400840283
761,-9.1018324396
762,-8.87041473796
763,-8.82500489212
764,-8.94144220318
765,-9.26156175309
766,-9.13945102122
767,-9.23040168791
768,-9.32359648725
769,-9.29798613618
770,-9.19010643204
771,-9.2987440954
772,-9.31407051417
773,-9.03195536731
774,-8.99398025009
775,-9.09575728892
776,-8.868672864
777,-9.07023027247
778,-9.10969719251
779,-9.28041452333
780,-8.86092650508
781,-8.90927937898
782,-8.94299070203
783,-9.09777353623
784,-9.0580566847
785,-9.17595671844
786,-9.13393437428
787,-9.09042391986
788,-9.26083635889
789,-9.28794947471
790,-8.68637038061
791,-9.05896519059
792,-8.51176554624
793,-17.9171968294
794,-47.2110859017
795,-259.596428922
796,-9.13878500553
797,-6.9674393974
798,-22.0997607222
799,-38.0297067501
800,-36.8345604156
801,-5.9636492343
802,-9.14841425175
803,-8.74013620071
804,-9.6176101684
805,-8.45528276933
806,-5.10049611789
807,-38.7687058444
808,-23.1435549347
809,-2207.70167058
810,-2435.11632517
811,-2654.92896934
812,-2426.34970425
813,-13.6468671206
814,-9.48798254324
815,-8.05392847332
816,-8.80848771998
817,-8.99486507268
818,-8.93105692443
819,-9.00091358063
820,-9.08804581331
821,-9.27104507053
822,-9.34727368124
823,-8.86173042771
824,-9.01295112479
825,-8.75933069447
826,-9.1398914716
827,-9.11648254827
828,-9.14067664597
829,-8.89513594662
830,-9.02127231518
831,-8.88238985353
832,-9.18515202185
833,-9.45616579682
834,-8.79396632974
835,-8.87554512473
836,-9.26060704652
837,-8.81099558813
838,-9.01581103226
839,-9.17461527588
840,-9.50211579929
841,-9.13407012462
842,-8.81927415283
843,-9.26920811816
844,-9.14938651804
845,-8.94581030971
846,-8.880569647
847,-12.5602679453
848,-12.3471578505
849,-8.99287933873
850,-9.20773070257
851,-8.99410071261
852,-12.2627386275
853,-8.82213679635
854,-11.8749343548
855,-9.33188613316
856,-11.9118930705
857,-9.48900556548
858,-8.85857054293
859,-10.3128476734
860,-9.97866157279
861,-9.2209417794
862,-9.14212966059
863,-9.11855629202
864,-9.75229559531
865,-9.26940281013
866,-9.29193295579
867,-9.71114315452
868,-9.18477444124
869,-9.81734751249
870,-9.83095509137
871,-9.79258821734
872,-8.97308724998
873,-10.0589664546
874,-9.64978990794
875,-9.28013508978
876,-9.02009356256
877,-9.92462414042
878,-9.91461694727
879,-9.79354084295
880,-9.19224957736
881,-10.1398311725
882,-9.32252951694
883,-10.1491630808
884,-10.2779801944
885,-9.08977034724
886,-9.07864327974
887,-9.64804219064
888,-9.79318774125
889,-8.88512160285
890,-9.17434995036
891,-9.75729882298
892,-10.2683697207
893,-8.88006921532
894,-9.89099043291
895,-9.3857981199
896,-9.20178162718
897,-9.25630179741
898,-10.1283014689
899,-9.98222149782
900,-10.3414279517
901,-9.05538085014
902,-8.74386023834
903,-9.00485544372
904,-9.20755177743
905,-8.92215196316
906,-9.0481613018
907,-9.22096128397
908,-9.11258850172
909,-9.03786215153
910,-9.16358550793
911,-9.21560047089
912,-9.30746705364
913,-9.02566728382
914,-9.44162225216
915,-8.91778078589
916,-8.98707610626
917,-9.35447220074
918,-9.17811165829
919,-9.28702923155
920,-9.38234897021
921,-9.10092707706
922,-9.14286166847
923,-9.01961785709
924,-9.09033015843
925,-8.84141659422
926,-8.99899237239
927,-9.26481445137
928,-9.09122389024
929,-9.07899594955
930,-8.94998120574
931,-8.96017122878
932,-8.96641195338
933,-9.08833258065
934,-9.20786720169
935,-8.94780608395
936,-9.10021893471
937,-8.86666363797
938,-8.68381336122
939,-9.07142859023
940,-9.18469058201
941,-8.94337087749
942,-9.14572169457
943,-8.77853274918
944,-8.95740931076
945,-9.02996453617
946,-9.05632512129
947,-9.10627264137
948,-8.85875679068
949,-9.09538397464
950,-8.72292517808
951,-9.31590043928
952,-9.21594705044
953,-9.00910369034
954,-8.86769557607
955,-9.20075852628
956,-9.29424730763
957,-9.17058383156
958,-3.02769778151
959,2.70847692178
960,2.70843917805
961,2.7084367594
962,-3.26684488243
963,-3.27389764593
964,2.7084694147
965,2.70844731956
966,2.7084766779
967,-3.30741185778
968,2.70842814153
969,2.70843639685
970,-3.27222609447
971,-3.29996702907
972,2.70845554286
973,-3.2990325824
974,2.70846628612
975,-3.13608289835
976,-3.15844355739
977,2.70841870114
978,-3.30039972994
979,-3.27970594377
980,2.70844628228
981,-3.17301589585
982,2.70843985605
983,2.70841771305
984,-3.16868822318
985,2.7084700485
986,2.70848409433
987,2.70847466257
988,2.70846924967
989,2.70841831701
990,2.70846094178
991,2.70842964381
992,2.70837438524
993,2.70841638358
994,2.70839543446
995,2.70846497653
996,2.70846516138
997,2.70847217965
998,2.70844746522
999,2.70846861191
1000,2.70847907801
1001,2.70846545005
1002,2.70845562673
1003,2.70846904803
1004,2.70844080008
1005,2.70843894401
1006,2.70847305466
1007,2.70845619737
1008,2.70848693213
1009,2.70840258823
1010,-3.30002563032
1011,-3.30483028992
1012,-3.29991437333
1013,-3.29996797447
1014,-3.29847938387
1015,2.70846425682
1016,2.708572383
1017,2.70845014799
1018,2.70843436844
1019,-3.30524668475
1020,2.70846941326
1021,-3.2996187687
1022,-3.30516014579
1023,2.70847739028
1024,2.70846803694
1025,2.7084422976
1026,-3.30387595235
1027,2.70845885421
1028,-3.30347877841
1029,2.70845937869
1030,-3.30605322269
1031,-3.30534154008
1032,-3.19114334051
1033,-2.97481846779
1034,2.70844631471
1035,2.70845889319
1036,-2.96275888287
1037,2.70844861137
1038,-3.2807316937
1039,-3.30505439617
1040,-3.30552521898
1041,-3.30091794366
1042,-3.16500936645
1043,2.70852496762
1044,2.70839321142
1045,2.70844247887
1046,2.70841472528
1047,2.7083995377
1048,2.70845240077
1049,2.70847713264
1050,2.70840698662
1051,-3.29950977445
1052,2.70846691702
1053,-3.30402838002
1054,2.7084577201
1055,-3.30266830339
1056,-3.154699223
1057,2.70838106994
1058,-3.3051063487
1059,-3.27379127692
1060,-3.30655751021
1061,2.70838809863
1062,-3.30310020604
1063,-3.26340938456
1064,-3.30560535662
1065,2.7084576729
1066,-3.30143311918
1067,2.70842320991
1068,-3.2989315833
1069,-3.30485857056
1070,-3.30064456733
1071,2.70841684794
1072,2.70846196823
1073,-3.24870622774
1074,-3.26373916384
1075,2.70838278878
1076,-3.3061487751
1077,2.70844014386
1078,-3.27552681706
1079,2.70845761945
1080,-3.27732455122
1081,2.70844176753
1082,-3.27708589473
1083,-3.28176773263
1084,-7.0239485518
1085,-3.81449778871
1086,-2.9109393331
1087,-2.57232392621
1088,-2.60225668612
1089,-9.13490672666
1090,-2.55876332025
1091,-9.12459484756
1092,-9.27893610005
1093,-9.18439582938
1094,-9.07313444405
1095,-9.05095496231
1096,-9.22688670072
1097,-9.26377911279
1098,-9.28894482611
1099,-9.21143513568
1100,-9.17078800407
1101,-9.18531958073
1102,-9.30688231827
1103,-9.3290853935
1104,-8.89888495701
1105,-8.58825014981
1106,-8.6998464645
1107,-9.12938200615
1108,-8.89479309083
1109,-8.91791421918
1110,-9.09171590896
1111,-8.6396488271
1112,-1.61906202619
1113,-5.85058916092
1114,2.70847339004
1115,2.70846300371
1116,2.70846736865
1117,2.70847138622
1118,2.70846457343
1119,2.70844598594
1120,2.70838095032
1121,2.70848799399
1122,2.70847094325
1123,2.70846411764
1124,2.70843371749
1125,2.70840590051
1126,2.70843485884
1127,2.70845663651
1128,2.70845839832
1129,2.70848223324
1130,2.70846004443
1131,2.70846239648
1132,2.70846070625
1133,2.70842298466
1134,2.70847989314
1135,2.70845990371
1136,2.70845855318
1137,2.70847530053
1138,2.70845484735
1139,2.70846328412
1140,2.70845391266
1141,-3.0301681606
1142,-7.82358350674
1143,-6.30643379304
1144,-8.06474073182
1145,-8.36153749185
1146,-9.04245060658
1147,-8.90812024871
1148,-8.93642268259
1149,-8.9319699742
1150,-9.07471592354
1151,-8.89638181898
1152,-8.92175621459
1153,-9.07586334039
1154,-8.82630246259
1155,-9.04012446456
1156,-9.29139271652
1157,-9.21981054408
1158,-9.12131330511
1159,-9.28184088661
1160,-8.77815064359
1161,-8.89266670481
1162,-9.23532227101
1163,-9.32072749436
1164,-9.43816878977
1165,-8.97396328091
1166,-8.93858624494
1167,-9.5233666753
1168,-8.80984261564
1169,-9.14376296768
1170,-9.01940217409
1171,-8.9199697696
1172,-9.09352507459
1173,-8.84055933243
1174,-8.86874352451
1175,-9.03280913669
1176,-9.35274982705
1177,-9.07731189752
1178,-8.71651121714
1179,-9.18694938522
1180,-9.28585002881
1181,-9.12044363711
1182,-9.20672281019
1183,-8.65629688878
1184,-9.20526654486
1185,-8.95166278924
1186,-8.95583795733
1187,-9.03202328105
1188,-8.87657797811
1189,-9.02982569415
1190,-9.03337463856
1191,-8.79289829335
1192,-9.26575749743
1193,-9.2282697255
1194,-8.69481882435
1195,-8.81162597488
1196,-9.16062084584
1197,-9.02678500787
1198,-9.15255466417
1199,-9.1992004007
1200,-8.8482896586
1201,-9.13704869923
1202,-9.13492355521
1203,-9.31951374352
1204,-8.95558570121
1205,-9.14298523105
1206,-9.15334364938
1207,-9.25997428045
1208,-9.10767324917
1209,-9.04366169763
1210,-9.325298773
1211,-8.86825133862
1212,-9.24860794681
1213,-8.88005433478
1214,-9.1082103589
1215,-9.02432760457
1216,-8.88485664175
1217,-9.11421115418
1218,-8.91037316148
1219,-9.25255982237
1220,-8.8685601457
1221,-9.38731945272
1222,-9.21636840621
1223,-9.27195682283
1224,-8.87500898038
1225,-9.02416471208
1226,-8.82278097636
1227,-8.96855097484
1228,-8.85761698383
1229,-8.94162568209
1230,-8.97762225942
1231,-8.92759096943
1232,-8.97557310747
1233,-8.98496393468
1234,-9.00733738494
1235,-9.02408379687
1236,-8.8970049488
1237,-9.06538203923
1238,-8.96956463955
1239,-9.47570602817
1240,-8.91826905435
1241,-9.13207862679
1242,-8.95885264987
1243,-8.89809562912
1244,-9.33332553959
1245,-9.05415185842
1246,-9.10213299085
1247,-9.13248125624
1248,-9.11812286903
1249,-9.14431178878
1250,-9.38455421746
1251,-9.29911309043
1252,-8.93638868974
1253,-9.43373688623
1254,-9.22564177698
1255,-9.07515128731
1256,-9.25787486186
1257,-9.09645209161
1258,-9.09835596636
1259,-8.86599161065
1260,-9.47361641183
1261,-8.87187317525
1262,-9.46245391591
1263,-8.96669588286
1264,-8.00093493827
1265,-8.87078629069
1266,-7.57467437652
1267,-3.30530444427
1268,2.70845765153
1269,2.70847104537
1270,-3.30573759471
1271,-3.30357231491
1272,-3.30447081425
1273,-3.02002870943
1274,-3.17261388482
1275,-2.64124629454
1276,-3.23419051692
1277,-3.26926327783
1278,-7.97713039849
1279,-7.93057398115
1280,2.7084758284
1281,-3.30444746853
1282,-7.80891729881
1283,-9.37661356309
1284,-22.500404615
1285,-16.5645828173
1286,-2.84863133561
1287,-24.6844544991
1288,-21.1850050187
1289,-16.0051859821
1290,-23.9051650449
1291,-11.6418113284
1292,-21.9619868802
1293,-35.5614099906
1294,-21.8717722374
1295,-22.1486655668
1296,-34.1777337872
1297,-22.0963852479
1298,-24.3905798757
1299,-23.7398811129
1300,-23.3469035601
1301,-23.4783782625
1302,-23.645079198
1303,-23.0592498952
1304,-23.3619512024
1305,-22.2561238811
1306,-22.1469291172
1307,-22.4963950588
1308,-22.0077350059
1309,-23.1813680027
1310,-22.0992840641
1311,-21.8663164824
1312,-21.8851649631
1313,-21.9484584413
1314,-23.8211020708
1315,-22.9396930849
1316,-23.0977119868
1317,-22.9752623737
1318,-21.4002767592
1319,-22.3909759571
1320,-21.9504926838
1321,-22.1257869805
1322,-24.0858002395
1323,-21.3836229397
1324,-20.2585638257
1325,-22.64896289
1326,-22.6522613973
1327,-22.2763259004
1328,-22.5947357161
1329,-22.575091192
1330,-22.3471437008
1331,-22.4458505083
1332,-22.5281698686
1333,-22.3188777441
1334,-21.9392570795
1335,-23.3804840808
1336,-22.6053589773
1337,-22.5452371498
1338,-21.2543210557
1339,-23.1283026382
1340,-22.202894177
1341,-23.2634584219
1342,-21.4419086786
1343,-23.9632819576
1344,-24.126352851
1345,-25.0706585693
1346,-21.4687850298
1347,-24.4800716452
1348,-24.099461139
1349,-22.868085368
1350,-21.9505020476
1351,-23.7984438739
1352,-24.5733409435
1353,-21.7947480256
1354,2.70846727014
1355,2.70841873786
1356,2.70843706495
1357,2.70843431052
1358,2.70845661376
1359,2.70846320584
1360,2.70845722661
1361,2.70845629231
1362,2.70847817187
1363,2.70845674781
1364,2.70846984716
1365,2.70845747288
1366,2.70846372175
1367,2.70842387185
1368,2.70844298168
1369,2.70845609371
1370,-3.30500643624
1371,2.71201432007
1372,2.70849937578
1373,2.70849323209
1374,2.70846469487
1375,-3.3044197938
1376,2.70844288532
1377,2.70846715776
1378,2.7083916345
1379,-3.30363054238
1380,2.70846461129
1381,2.70843801013
1382,2.70848566019
1383,2.70847309416
1384,2.70844695261
1385,2.70836885511
1386,2.70842976778
1387,-1.10162487564
1388,-3.17622045354
1389,-7.90279269715
1390,-13.6397048219
1391,-7.5883629541
1392,-7.89432473895
